code,risk_type
000001,中高风险
000003,中高风险
000004,中高风险
000005,中低风险
000008,高风险
000011,中高风险
000015,中低风险
000016,中低风险
000017,中高风险
000020,中高风险
000021,中高风险
000024,中低风险
000025,中低风险
000028,中低风险
000029,中高风险
000030,中高风险
000031,中高风险
000032,中低风险
000033,中低风险
000039,中高风险
000042,高风险
000043,高风险
000044,
000045,中风险
000046,中风险
000047,中风险
000048,中风险
000051,高风险
000053,中低风险
000054,中风险
000056,中高风险
000057,中高风险
000058,中高风险
000059,高风险
000061,中高风险
000063,中高风险
000065,中高风险
000066,中高风险
000067,中高风险
000068,中高风险
000069,中低风险
000070,中低风险
000072,中高风险
000073,中高风险
000080,中高风险
000081,中高风险
000082,高风险
000083,中高风险
000084,中低风险
000085,中低风险
000086,中低风险
000087,中低风险
000088,中低风险
000104,中低风险
000105,中低风险
000106,中低风险
000107,中风险
000109,中风险
000113,中低风险
000115,中低风险
000116,中低风险
000117,中高风险
000118,中风险
000119,中风险
000120,中高风险
000121,中高风险
000122,中低风险
000123,中低风险
000124,中高风险
000126,中高风险
000127,中高风险
000128,中低风险
000129,中低风险
000130,中风险
000131,中风险
000136,中高风险
000139,中低风险
000141,中低风险
000142,中风险
000143,中风险
000147,中低风险
000148,中低风险
000149,中低风险
000150,中低风险
000152,中低风险
000153,中低风险
000165,中高风险
000166,中高风险
000167,中高风险
000171,
000172,中高风险
000173,中高风险
000174,中低风险
000175,中低风险
000181,中风险
000182,中风险
000183,中低风险
000184,中风险
000185,中风险
000186,中低风险
000187,中低风险
000188,中低风险
000190,中高风险
000191,中低风险
000192,中低风险
000194,中低风险
000199,中高风险
000205,中低风险
000206,中低风险
000207,中风险
000208,中风险
000209,中高风险
000215,中高风险
000216,高风险
000217,高风险
000219,中高风险
000220,中高风险
000221,中低风险
000222,中低风险
000236,中风险
000241,
000242,中高风险
000251,中高风险
000252,中低风险
000253,中低风险
000256,中高风险
000259,中高风险
000263,中高风险
000264,中高风险
000273,中高风险
000279,中高风险
000286,中低风险
000306,中风险
000308,中高风险
000311,高风险
000312,高风险
000313,高风险
000314,中高风险
000338,中风险
000346,中低风险
000347,中低风险
000362,中高风险
000363,中高风险
000368,高风险
000385,中风险
000386,中风险
000390,中高风险
000395,中低风险
000396,中低风险
000404,中高风险
000408,中高风险
000414,中低风险
000418,高风险
000428,
000435,中风险
000436,
001001,中风险
001003,中风险
001011,中风险
001013,中风险
001021,中低风险
001023,中低风险
001031,中风险
001033,中风险
002001,中高风险
002011,中高风险
002021,中高风险
002031,中高风险
020001,中高风险
020002,中风险
020003,中高风险
020005,中高风险
020009,中高风险
020010,中高风险
020011,高风险
020012,中风险
020015,中高风险
020018,中高风险
020019,中风险
020020,中风险
020021,高风险
020023,中高风险
020026,中高风险
020033,中风险
020034,中风险
040001,中高风险
040002,高风险
040004,中高风险
040005,中高风险
040007,中高风险
040008,中高风险
040009,中风险
040010,中风险
040011,中高风险
040012,中风险
040013,中风险
040015,中高风险
040016,中高风险
040018,高风险
040019,中风险
040020,中高风险
040021,高风险
040022,中高风险
040023,中高风险
040025,中高风险
040026,中低风险
040035,中高风险
040036,中风险
040037,中风险
040040,中低风险
040041,中低风险
040045,中低风险
040046,高风险
040180,高风险
040190,高风险
050001,中高风险
050002,高风险
050004,中高风险
050006,中风险
050007,中高风险
050008,中高风险
050009,中高风险
050010,中高风险
050011,中风险
050012,中高风险
050013,高风险
050014,中高风险
050016,中风险
050018,中高风险
050019,中高风险
050022,中高风险
050023,中风险
050024,高风险
050026,中高风险
050027,中低风险
050106,中风险
050111,中风险
050116,中风险
050119,中高风险
050123,中风险
050201,中高风险
070001,中高风险
070002,中高风险
070003,中高风险
070005,中风险
070006,中高风险
070009,中低风险
070010,中高风险
070011,中高风险
070012,高风险
070013,中高风险
070015,中风险
070016,中风险
070017,中高风险
070018,中高风险
070019,中高风险
070020,中风险
070021,中高风险
070022,中高风险
070023,高风险
070025,中风险
070026,中风险
070027,中高风险
070030,高风险
070031,高风险
070032,中高风险
070037,中低风险
070038,中低风险
070099,中高风险
080001,中高风险
080002,中高风险
080003,中风险
080005,中高风险
080007,中高风险
080008,中高风险
080012,中高风险
080015,中高风险
090001,中高风险
090002,中风险
090003,中高风险
090004,中高风险
090006,中高风险
090007,中高风险
090009,中高风险
090010,高风险
090011,中高风险
090012,高风险
090013,中高风险
090015,中高风险
090016,中高风险
090017,中高风险
090018,中高风险
090019,中高风险
090020,中高风险
092002,中风险
100016,中高风险
100018,中风险
100020,中高风险
100022,中高风险
100026,中高风险
100029,中高风险
100032,高风险
100035,中风险
100037,中风险
100038,高风险
100039,中高风险
100051,中高风险
100053,高风险
100056,中高风险
100058,中低风险
100060,中高风险
100066,中低风险
100068,中低风险
110001,中高风险
110002,中高风险
110003,高风险
110005,中高风险
110007,中风险
110008,中风险
110009,中高风险
110010,中高风险
110011,中高风险
110012,中高风险
110013,中高风险
110015,中高风险
110017,中风险
110018,中风险
110019,高风险
