code,symbol,issuer,fund_manager,fund_type,establishment_date,listed_date,stop_date,de_listed_date,benchmark
000001,华夏成长,华夏基金管理有限公司,董阳阳 ,Hybrid,2001-12-18,2001-12-18,0000-00-00,0000-00-00,
000003,中海可转债A,中海基金管理有限公司,彭海平 ,Bond,2013-03-20,2013-03-20,0000-00-00,0000-00-00,70.0％×标普中国可转债指数+10.0％×上海证券交易所上证红利指数+20.0％×中证综合债券指数
000004,中海可转债C,中海基金管理有限公司,彭海平 ,Bond,2013-03-20,2013-03-20,0000-00-00,0000-00-00,70.0％×标普中国可转债指数+10.0％×上海证券交易所上证红利指数+20.0％×中证综合债券指数
000005,嘉实增强信用,嘉实基金管理有限公司,刘宁 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
000006,西部量化成长,西部利得基金管理有限公司,盛丰衍 ,Hybrid,2019-03-19,2019-03-19,0000-00-00,0000-00-00,25.0％×活期存款利率(税后)+75.0％×中证小盘500指数
000007,鹏华国企债,鹏华基金管理有限公司,,Bond,2013-03-08,2013-03-08,2018-08-08,2018-08-08,100.0％×中债-总指数
000008,嘉实中证500ETF联接A,嘉实基金管理有限公司,陈正宪 何如 ,Stock,2013-03-22,2013-03-22,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证小盘500指数
000009,易方达天天理财A,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
000010,易方达天天理财B,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
000011,华夏大盘,华夏基金管理有限公司,陈伟彦 ,Hybrid,2004-08-11,2004-08-11,0000-00-00,0000-00-00,80.0％×富时中国A200指数+20.0％×富时中国国债净价指数
000013,易方达天天理财R,易方达基金管理有限公司,刘朝阳 石大怿 ,Money,2013-03-04,2013-03-04,0000-00-00,0000-00-00,100.0％×活期存款利率(税后)
000014,华夏聚利,华夏基金管理有限公司,何家琪 ,Bond,2014-03-19,2014-03-19,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
000015,华夏纯债A,华夏基金管理有限公司,柳万军 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×中债-综合指数
000016,华夏纯债C,华夏基金管理有限公司,柳万军 ,Bond,2013-03-08,2013-03-08,0000-00-00,0000-00-00,100.0％×中债-综合指数
000017,财通主题,财通基金管理有限公司,夏钦 ,Hybrid,2013-03-27,2013-03-27,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×沪深300指数
000020,景顺品质,景顺长城基金管理有限公司,詹成 ,Hybrid,2013-03-19,2013-03-19,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
000021,华夏优势,华夏基金管理有限公司,刘平 郑晓辉 ,Hybrid,2006-11-24,2006-11-24,0000-00-00,0000-00-00,80.0％×富时中国A600指数+20.0％×中债-综合指数-财富指数
000022,南方中债A,南方基金管理股份有限公司,,Bond,2013-05-03,2013-05-03,2018-04-26,2018-04-26,5.0％×活期存款利率(税后)+95.0％×中债-新中期票据总指数
000023,南方中债C,南方基金管理股份有限公司,,Bond,2013-05-03,2013-05-03,2018-04-26,2018-04-26,5.0％×活期存款利率(税后)+95.0％×中债-新中期票据总指数
000024,大摩双利A,摩根士丹利华鑫基金管理有限公司,张雪 ,Bond,2013-03-26,2013-03-26,0000-00-00,0000-00-00,20.0％×中债-国债总指数-全价指数+40.0％×中债-企业债总指数-全价指数+40.0％×中证可转换债券指数
000025,大摩双利C,摩根士丹利华鑫基金管理有限公司,张雪 ,Bond,2013-03-26,2013-03-26,0000-00-00,0000-00-00,20.0％×中债-国债总指数-全价指数+40.0％×中债-企业债总指数-全价指数+40.0％×中证可转换债券指数
000026,泰达信用A,泰达宏利基金管理有限公司,,Bond,2013-03-19,2013-03-19,2018-08-10,2018-08-10,100.0％×一年定期存款利率(税后)的1.2倍
000027,泰达信用B,泰达宏利基金管理有限公司,,Bond,2013-03-19,2013-03-19,2018-08-10,2018-08-10,100.0％×一年定期存款利率(税后)的1.2倍
000028,华富安鑫,华富基金管理有限公司,张惠 ,Bond,2019-06-12,2019-06-12,0000-00-00,0000-00-00,100.0％×中证全债指数
000029,富国策略,富国基金管理有限公司,袁宜 ,Hybrid,2013-04-12,2013-04-12,0000-00-00,0000-00-00,65.0％×沪深300指数+35.0％×中债-综合指数
000030,长城优选,长城基金管理有限公司,雷俊 ,Hybrid,2019-05-24,2019-05-24,0000-00-00,0000-00-00,45.0％×中债-总指数+55.0％×沪深300指数
000031,华夏复兴,华夏基金管理有限公司,周克平 ,Hybrid,2007-09-10,2007-09-10,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×沪深300指数
000032,易方达信用债A,易方达基金管理有限公司,胡剑 纪玲云 ,Bond,2013-04-24,2013-04-24,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
000033,易方达信用债C,易方达基金管理有限公司,胡剑 纪玲云 ,Bond,2013-04-24,2013-04-24,0000-00-00,0000-00-00,100.0％×中债-信用债总指数
000037,广发7天债A,广发基金管理有限公司,任爽 温秀娟 ,Bond,2013-06-20,2013-06-20,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
000038,广发7天债B,广发基金管理有限公司,任爽 温秀娟 ,Bond,2013-06-20,2013-06-20,0000-00-00,0000-00-00,100.0％×七天通知存款利率(税后)
000039,农银低估值,农银汇理基金管理有限公司,张燕 ,Hybrid,2013-03-26,2013-03-26,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数
000041,华夏全球,华夏基金管理有限公司,李湘杰 ,QDII,2007-10-09,2007-10-09,0000-00-00,0000-00-00,100.0％×MSCI资本国际全球指数
000042,财通ESG100A,财通基金管理有限公司,苏俊杰 吴迪 朱海东 ,Stock,2013-03-22,2013-03-22,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证财通中国可持续发展100(ECPI ESG)指数
000043,嘉实美国,嘉实基金管理有限公司,张自力 ,QDII,2013-06-14,2013-06-14,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×罗素1000成长指数收益率
000044,嘉实美国美元现汇,嘉实基金管理有限公司,张自力 ,QDII,2013-06-14,2013-06-14,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×罗素1000成长指数收益率
000045,工银产业债A,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-03-29,2013-03-29,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.0%
000046,工银产业债B,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-03-29,2013-03-29,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.0%
000047,华夏双债A,华夏基金管理有限公司,柳万军 ,Bond,2013-03-14,2013-03-14,0000-00-00,0000-00-00,100.0％×中债-综合指数
000048,华夏双债C,华夏基金管理有限公司,柳万军 ,Bond,2013-03-14,2013-03-14,0000-00-00,0000-00-00,100.0％×中债-综合指数
000049,中银资源,中银基金管理有限公司,陈学林 ,QDII,2013-03-19,2013-03-19,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×标普全球精选自然资源等权重指数(NTR)(人民币计价)
000050,长盛纯债A,长盛基金管理有限公司,,Bond,2013-03-13,2013-03-13,2018-05-18,2018-05-18,100.0％×中债-综合指数-全价指数
000051,华夏300ETF联接A,华夏基金管理有限公司,张弘弢 赵宗庭 ,Stock,2012-12-25,2012-12-25,0000-00-00,0000-00-00,95.0％×沪深300指数+1.0％
000052,长盛纯债C,长盛基金管理有限公司,,Bond,2013-03-13,2013-03-13,2018-05-18,2018-05-18,100.0％×中债-综合指数-全价指数
000053,鹏华永诚,鹏华基金管理有限公司,刘涛 ,Bond,2018-12-19,2018-12-19,0000-00-00,0000-00-00,100.0％×中债-总指数
000054,鹏华增利,鹏华基金管理有限公司,刘太阳 ,Bond,2013-03-13,2013-03-13,0000-00-00,0000-00-00,100.0％×三年定期存款利率(税后)加1.5%
000055,广发纳指A现汇,广发基金管理有限公司,刘杰 ,QDII,2015-01-16,2015-01-16,0000-00-00,0000-00-00,100.0％×纳斯达克100指数
000056,建信消费,建信基金管理有限责任公司,邱宇航 ,Hybrid,2013-06-14,2013-06-14,0000-00-00,0000-00-00,25.0％×中债-总指数+75.0％×沪深300指数
000057,中银消费,中银基金管理有限公司,钱亚风云 ,Hybrid,2013-04-25,2013-04-25,0000-00-00,0000-00-00,25.0％×上海证券交易所国债指数+75.0％×中证内地消费主题指数
000058,国联安安泰,国联安基金管理有限公司,林渌 ,Hybrid,2019-06-05,2019-06-05,0000-00-00,0000-00-00,45.0％×上海证券交易所国债指数+55.0％×沪深300指数
000059,国联安医药A,国联安基金管理有限公司,黄欣 ,Stock,2013-08-21,2013-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证医药100指数
000060,国联安动态,国联安基金管理有限公司,,Hybrid,2013-06-26,2013-06-26,2017-03-29,2017-03-29,5.0％×活期存款利率(税后)+95.0％×中证股债动态合成期权策略指数
000061,华夏盛世,华夏基金管理有限公司,代瑞亮 王晓李 ,Hybrid,2009-12-11,2009-12-11,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×沪深300指数
000062,银华智慧动力,银华基金管理股份有限公司,,Hybrid,2016-04-25,2016-04-25,2018-09-28,2018-09-28,50.0％×中债-总指数+50.0％×中证800指数
000063,长盛信息主题,长盛基金管理有限公司,钱文礼 朱律 ,Hybrid,2014-07-03,2014-07-03,0000-00-00,0000-00-00,50.0％×中证综合债券指数+50.0％×中证TMT产业主题指数
000064,大摩稳定增利,摩根士丹利华鑫基金管理有限公司,李轶 ,Bond,2013-06-25,2013-06-25,0000-00-00,0000-00-00,50.0％×一年定期存款利率(税后)+50.0％×两年定期存款利率(税后)
000065,国富焦点,国海富兰克林基金管理有限公司,刘晓 刘怡敏 赵晓东 ,Hybrid,2013-05-07,2013-05-07,0000-00-00,0000-00-00,60.0％×沪深300指数+40.0％×中债-国债总指数-全价指数
000066,诺安鸿鑫,诺安基金管理有限公司,罗春蕾 ,Hybrid,2019-06-18,2019-06-18,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
000067,民生转债A,民生加银基金管理有限公司,邱世磊 ,Bond,2013-04-18,2013-04-18,0000-00-00,0000-00-00,10.0％×沪深300指数+30.0％×中证国债指数+60.0％×中证可转换债券指数
000068,民生转债C,民生加银基金管理有限公司,邱世磊 ,Bond,2013-04-18,2013-04-18,0000-00-00,0000-00-00,10.0％×沪深300指数+30.0％×中证国债指数+60.0％×中证可转换债券指数
000069,国投中高债A,国投瑞银基金管理有限公司,宋璐 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,5.0％×中证可转换债券指数+95.0％×中证信用债指数
000070,国投中高债C,国投瑞银基金管理有限公司,宋璐 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,5.0％×中证可转换债券指数+95.0％×中证信用债指数
000071,华夏恒生ETF联接A,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数
000072,华安稳健,华安基金管理有限公司,舒灏 郑可成 ,Hybrid,2019-06-28,2019-06-28,0000-00-00,0000-00-00,40.0％×中债-总指数+60.0％×沪深300指数
000073,上投成长,上投摩根基金管理有限公司,刘辉 ,Hybrid,2013-05-15,2013-05-15,0000-00-00,0000-00-00,20.0％×中债-总指数+80.0％×沪深300指数
000074,工银纯债一年A,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-05-22,2013-05-22,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
000075,华夏恒生ETF联接A现汇,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数
000076,华夏恒生ETF联接A现钞,华夏基金管理有限公司,徐猛 ,QDII,2012-08-21,2012-08-21,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×香港恒生指数
000077,工银纯债一年C,工银瑞信基金管理有限公司,何秀红 ,Bond,2013-05-22,2013-05-22,0000-00-00,0000-00-00,100.0％×一年定期存款收益率(税后)加1.2%
000078,工银信用纯债A,工银瑞信基金管理有限公司,李敏 ,Bond,2013-06-24,2013-06-24,0000-00-00,0000-00-00,100.0％×两年定期存款利率(税后)加1.2%
000079,工银信用纯债C,工银瑞信基金管理有限公司,李敏 ,Bond,2013-06-24,2013-06-24,0000-00-00,0000-00-00,100.0％×两年定期存款利率(税后)加1.2%
000080,天治可转债A,天治基金管理有限公司,王洋 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数
000081,天治可转债C,天治基金管理有限公司,王洋 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×中债-综合指数
000082,嘉实研究,嘉实基金管理有限公司,张丹华 张露 ,Stock,2013-05-28,2013-05-28,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×MSCI中国A股指数
000083,汇添富消费,汇添富基金管理股份有限公司,胡昕炜 ,Hybrid,2013-05-03,2013-05-03,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+40.0％×中证可选消费指数+40.0％×中证主要消费指数
000084,博时安盈A,博时基金管理有限公司,黄海峰 ,Bond,2013-04-23,2013-04-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
000085,博时安盈C,博时基金管理有限公司,黄海峰 ,Bond,2013-04-23,2013-04-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)
000086,南方稳利A,南方基金管理股份有限公司,何康 ,Bond,2013-07-23,2013-07-23,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)×1.4
000087,嘉实中证ETF联接A,嘉实基金管理有限公司,曲扬 王亚洲 ,Bond,2013-05-10,2013-05-10,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证金边中期国债指数
000088,嘉实中证ETF联接C,嘉实基金管理有限公司,曲扬 王亚洲 ,Bond,2013-05-10,2013-05-10,0000-00-00,0000-00-00,5.0％×活期存款利率(税后)+95.0％×中证金边中期国债指数
000089,民生家盈月度A,民生加银基金管理有限公司,李文君 ,Bond,2013-04-25,2013-04-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率
000090,民生家盈月度B,民生加银基金管理有限公司,李文君 ,Bond,2013-04-25,2013-04-25,0000-00-00,0000-00-00,100.0％×七天通知存款利率
000091,信诚新双盈,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数
000092,信诚新双盈A,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数
000093,信诚新双盈B,中信保诚基金管理有限公司,杨立春 ,Bond,2013-05-09,2013-05-09,0000-00-00,0000-00-00,100.0％×中证综合债券指数
000103,国泰境外高收益,国泰基金管理有限公司,吴向军 ,QDII,2013-04-26,2013-04-26,0000-00-00,0000-00-00,100.0％×摩根大通亚洲债券中国总收益指数
000104,华宸添利A,华宸未来基金管理有限公司,应晓立 ,Bond,2018-08-24,2018-08-24,0000-00-00,0000-00-00,100.0％×中债-综合指数-全价指数
000105,建信安心A,建信基金管理有限责任公司,闫晗 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,100.0％×一年定期存款利率
000106,建信安心C,建信基金管理有限责任公司,闫晗 ,Bond,2013-05-14,2013-05-14,0000-00-00,0000-00-00,100.0％×一年定期存款利率
000107,富国稳健A/B,富国基金管理有限公司,俞晓斌 ,Bond,2016-01-19,2016-01-19,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中债-综合指数-全价指数
000109,富国稳健C,富国基金管理有限公司,俞晓斌 ,Bond,2016-01-19,2016-01-19,0000-00-00,0000-00-00,10.0％×沪深300指数+90.0％×中债-综合指数-全价指数
000110,金鹰元安A,金鹰基金管理有限公司,林龙军 杨晓斌 ,Hybrid,2017-06-06,2017-06-06,0000-00-00,0000-00-00,80.0％×中债-总指数+20.0％×沪深300指数
000111,易方达1年债A,易方达基金管理有限公司,李一硕 ,Bond,2013-07-30,2013-07-30,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
000112,易方达1年债C,易方达基金管理有限公司,李一硕 ,Bond,2013-07-30,2013-07-30,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加1%
000113,嘉实如意宝A/B,嘉实基金管理有限公司,刘宁 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%
000115,嘉实如意宝C,嘉实基金管理有限公司,刘宁 ,Bond,2013-06-04,2013-06-04,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%
000116,嘉实丰益纯债,嘉实基金管理有限公司,曲扬 ,Bond,2013-05-21,2013-05-21,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加0.5%
000117,广发轮动,广发基金管理有限公司,吴兴武 ,Hybrid,2013-05-28,2013-05-28,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中证全债指数
000118,广发聚鑫A,广发基金管理有限公司,张芊 ,Bond,2013-06-05,2013-06-05,0000-00-00,0000-00-00,100.0％×中债-总指数-全价指数
000119,广发聚鑫C,广发基金管理有限公司,张芊 ,Bond,2013-06-05,2013-06-05,0000-00-00,0000-00-00,100.0％×中债-总指数-全价指数
000120,中银美丽,中银基金管理有限公司,王伟 严菲 ,Hybrid,2013-06-07,2013-06-07,0000-00-00,0000-00-00,80.0％×沪深300指数+20.0％×中债-综合指数
000121,华夏永福A,华夏基金管理有限公司,何家琪 ,Hybrid,2013-08-13,2013-08-13,0000-00-00,0000-00-00,100.0％×一年定期存款利率(税后)加2%
000122,汇添富实业债A,汇添富基金管理股份有限公司,蒋文玲 曾刚 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,100.0％×中债-综合指数
000123,汇添富实业债C,汇添富基金管理股份有限公司,蒋文玲 曾刚 ,Bond,2013-06-14,2013-06-14,0000-00-00,0000-00-00,100.0％×中债-综合指数
000124,华宝优选,华宝基金管理有限公司,楼鸿强 ,Hybrid,2013-06-27,2013-06-27,0000-00-00,0000-00-00,20.0％×上海证券交易所国债指数+80.0％×中证服务业指数
000125,上投天颐A,上投摩根基金管理有限公司,,Hybrid,2013-07-18,2013-07-18,2018-11-23,2018-11-23,100.0％×一年定期存款利率(税后)加1%
000126,招商安润,招商基金管理有限公司,尹晓红 钟贇 ,Hybrid,2019-05-14,2019-05-14,0000-00-00,0000-00-00,55.0％×沪深300指数+45.0％×中债-综合指数-全价指数
000127,农银领先,农银汇理基金管理有限公司,张峰 ,Hybrid,2013-06-25,2013-06-25,0000-00-00,0000-00-00,75.0％×沪深300指数+25.0％×中证全债指数
000128,大成景安A,大成基金管理有限公司,欧阳亮 ,Bond,2013-05-24,2013-05-24,0000-00-00,0000-00-00,100.0％×中债-短融总指数
000129,大成景安B,大成基金管理有限公司,欧阳亮 ,Bond,2013-05-24,2013-05-24,0000-00-00,0000-00-00,100.0％×中债-短融总指数
