,Stock,Bond,Hybrid,QDII,Others,Related
2014/1/2,-0.003454,-0.000280689,-0.001867345,-0.000800457,0.0247,0.023465694
2014/1/3,-0.013436,-0.001365332,-0.007400666,-0.000800457,0.0062,0.005890694
2014/1/6,-0.022762,-0.000147237,-0.011454619,-0.003021286,0.0065,0.006175694
2014/1/7,-0.000284,0.000547661,0.00013183,0.004499747,0.0016,0.001520694
2014/1/8,0.001747,0.000851529,0.001299264,0.001691274,-0.0156,-0.014819306
2014/1/9,-0.008783,0.000750669,-0.004016165,-0.002486995,-0.0005,-0.000474306
2014/1/10,-0.007817,9.24E-05,-0.0038623,0.003248016,0.0049,0.004655694
2014/1/13,-0.005067,0.00024698,-0.00241001,-0.005061444,0.0144,0.013680694
2014/1/14,0.008737,0.000365832,0.004551416,0.003047733,-0.0006,-0.000569306
2014/1/15,-0.001765,0.000302068,-0.000731466,0.007767523,-0.0088,-0.008359306
2014/1/16,0.001314,0.000346015,0.000830008,-0.000453391,0.0014,0.001330694
2014/1/17,-0.015081,0.000207537,-0.007436732,-0.001338111,0.0037,0.003515694
2014/1/20,-0.005736,0.001342077,-0.002196961,-0.000227102,0.0058,0.005510694
2014/1/21,0.009888,0.000941195,0.005414598,0.001817232,-0.0041,-0.003894306
2014/1/22,0.025778,0.000813448,0.013295724,0.001088361,-0.0079,-0.007504306
2014/1/23,-0.005307,0.00054743,-0.002379785,-0.008697425,-0.0025,-0.002374306
2014/1/24,0.006178,0.000326468,0.003252234,-0.018941211,0.0149,0.014155694
2014/1/27,-0.013252,0.00134024,-0.00595588,-0.009408915,0.0036,0.003420694
2014/1/28,0.001776,0.001421838,0.001598919,0.004231909,-0.0076,-0.007219306
2014/1/29,0.003571,7.98E-05,0.0018254,-0.004050194,0.0002,0.000190694
2014/1/30,-0.011371,0.000117962,-0.005626519,0.003784584,0.0017,0.001615694
2014/2/7,0.004555,0.002442911,0.003498956,0.011219732,0.0078,0.007410694
2014/2/10,0.024882,0.000555081,0.012718541,0.002270546,0.0085,0.008075694
2014/2/11,0.00795,0.000380455,0.004165228,0.009785604,0.0044,0.004180694
2014/2/12,0.002487,0.000171486,0.001329243,0.002960427,0.0023,0.002185694
2014/2/13,-0.005103,0.000342221,-0.00238039,0.001037703,0.0002,0.000190694
2014/2/14,0.007028,0.000646887,0.003837443,0.003524534,0.0182,0.017290694
2014/2/17,0.007001,0.000758358,0.003879679,0.002272571,0.0123,0.011685694
2014/2/18,-0.012634,2.35E-05,-0.00630525,0.003366772,-0.0071,-0.006744306
2014/2/19,0.011485,7.45E-05,0.00577975,-0.002876121,0.0009,0.000855694
2014/2/20,-0.009191,0.001373952,-0.003908524,0.000984365,-0.0029,-0.002754306
2014/2/21,-0.010117,0.001890295,-0.004113353,0.002812972,0.007,0.006650694
2014/2/24,-0.021987,0.000943021,-0.01052199,0.004196219,0.0047,0.004465694
2014/2/25,-0.025559,0.002463562,-0.011547719,-0.000340654,0.0073,0.006935694
2014/2/26,0.002547,0.001517691,0.002032346,-0.000931437,0.0108,0.010260694
2014/2/27,-0.004297,0.001049959,-0.001623521,0.002296655,-0.0141,-0.013394306
2014/2/28,0.011542,0.001926781,0.00673439,0.001520033,0.0048,0.004560694
2014/3/3,0.005231,0.000345307,0.002788154,-0.011847321,0.0132,0.012540694
2014/3/4,-0.002784,-0.000804984,-0.001794492,0.013960845,-0.0083,-0.007884306
2014/3/5,-0.009292,-0.000413058,-0.004852529,0.000406954,-0.0035,-0.003324306
2014/3/6,0.004463,-0.000598327,0.001932337,0.003231711,-0.0003,-0.000284306
2014/3/7,-0.002427,6.01E-05,-0.00118345,-0.002522977,0.0087,0.008265694
2014/3/10,-0.032546,0.000619834,-0.015963083,-0.003116531,-0.0103,-0.009784306
2014/3/11,0.005184,0.000269089,0.002726544,-0.0021748,0.0075,0.007125694
2014/3/12,0.002595,0.000263554,0.001429277,-0.004881261,0.011,0.010450694
2014/3/13,0.012392,0.000375431,0.006383716,-0.00944537,0.0087,0.008265694
2014/3/14,-0.008175,0.000607288,-0.003783856,-0.006310892,-0.0005,-0.000474306
2014/3/17,0.009517,0.000449393,0.004983196,0.007139049,0.0136,0.012920694
2014/3/18,-0.002289,0.000147231,-0.001070885,0.007525719,-0.0153,-0.014534306
2014/3/19,-0.008074,-0.000389833,-0.004231917,-0.003860386,-0.0033,-0.003134306
2014/3/20,-0.015985,-0.001448807,-0.008716904,0.000573276,-0.0103,-0.009784306
2014/3/21,0.034419,0.000167281,0.01729314,-0.000343769,-0.0007,-0.000664306
2014/3/24,0.008225,0.000616448,0.004420724,-0.003301314,-0.0052,-0.004939306
2014/3/25,-0.000971,-7.64E-05,-0.0005237,0.005405405,-0.0102,-0.009689306
2014/3/26,-0.00156,8.26E-05,-0.0007387,-0.000617708,0.0031,0.002945694
2014/3/27,-0.007066,0.000180794,-0.003442603,-0.000480736,-0.0095,-0.009024306
2014/3/28,-0.001736,4.37E-05,-0.00084615,0.006000641,-0.0039,-0.003704306
2014/3/31,-0.00263,0.000403797,-0.001113102,0.006397414,-0.0027,-0.002564306
2014/4/1,0.007832,3.82E-05,0.0039351,0.006266259,-0.0055,-0.005224306
2014/4/2,0.008142,-0.00011454,0.00401373,0.003057416,-0.0005,-0.000474306
2014/4/3,-0.007208,-0.000260473,-0.003734237,-0.000381012,0.0032,0.003040694
2014/4/4,0.009452,-0.000130952,0.004660524,-0.005313782,0.0023,0.002185694
2014/4/8,0.023722,0.000568898,0.012145449,0.000295952,0.013,0.012350694
2014/4/9,0.000583,0.000182708,0.000382854,0.005780741,0.0005,0.000475694
2014/4/10,0.015698,-8.11E-05,0.00780845,-0.010951961,0.0072,0.006840694
2014/4/11,-0.001361,0.000317661,-0.00052167,-0.009631884,-0.0014,-0.001329306
2014/4/14,-0.000904,0.000993567,4.48E-05,0.003996489,0.0084,0.007980694
2014/4/15,-0.017257,0.000550072,-0.008353464,0.000345137,-0.0101,-0.009594306
2014/4/16,0.001374,0.000394637,0.000884319,0.010672555,-0.008,-0.007599306
2014/4/17,-0.003459,0.002462106,-0.000498447,0.002913063,-0.003,-0.002849306
2014/4/18,-0.000146,0.000905757,0.000379879,0.000703458,0.0001,9.57E-05
2014/4/21,-0.016737,0.000617526,-0.008059737,0.00163269,-0.0064,-0.006079306
2014/4/22,0.004365,0.000188327,0.002276664,0.005116479,0.0035,0.003325694
2014/4/23,-0.000968,0.000197774,-0.000385113,-0.001937068,-0.0026,-0.002469306
2014/4/24,-0.001911,0.000157782,-0.000876609,0.000925278,-0.0007,-0.000664306
2014/4/25,-0.010339,0.00015234,-0.00509333,-0.007034632,0.008,0.007600694
2014/4/28,-0.015157,0.001345131,-0.006905935,0.001135332,0.0082,0.007790694
2014/4/29,0.011008,0.000192676,0.005600338,0.005556816,-0.0069,-0.006554306
2014/4/30,8.80E-05,0.000334583,0.000211292,0.001353333,0.0007,0.000665694
2014/5/5,-0.001014,0.001244639,0.000115319,0,0.0099,0.009405694
2014/5/6,0.000398,0.000601975,0.000499988,-0.005286601,0.0005,0.000475694
2014/5/7,-0.009276,0.000698734,-0.004288633,0.000542778,-0.0007,-0.000664306
2014/5/8,-0.000852,0.000849219,-1.39E-06,0.002034312,-0.0143,-0.013584306
2014/5/9,-0.000742,0.002037069,0.000647534,0.000383479,0.0004,0.000380694
2014/5/12,0.021624,0.000878359,0.011251179,0.007125462,-0.0002,-0.000189306
2014/5/13,-0.002386,0.00023568,-0.00107516,0.002910622,0.0015,0.001425694
2014/5/14,-0.00114,5.71E-05,-0.00054145,-0.000669733,0.0031,0.002945694
2014/5/15,-0.013022,-9.06E-05,-0.0065563,-0.007170941,0.0027,0.002565694
2014/5/16,0.000871,-0.00011748,0.00037676,0.000787526,-0.005,-0.004749306
2014/5/19,-0.014357,0.000508246,-0.006924377,0.000989253,0.0039,0.003705694
2014/5/20,0.000297,0.000167764,0.000232382,-0.003795876,-0.0035,-0.003324306
2014/5/21,0.009516,0.000230804,0.004873402,0.005275855,0.0002,0.000190694
2014/5/22,-0.002358,0.00031527,-0.001021365,0.003992195,0.001,0.000950694
2014/5/23,0.008234,0.00051299,0.004373495,0.00359656,-0.0003,-0.000284306
2014/5/26,0.00352,0.001755337,0.002637669,0.002359436,-0.0017,-0.001614306
2014/5/27,-0.004033,0.000330514,-0.001851243,0.002598152,-0.0049,-0.004654306
2014/5/28,0.010279,0.00063807,0.005458535,0.000265787,-0.0131,-0.012444306
2014/5/29,-0.00654,0.000730572,-0.002904714,0.002745732,-0.0111,-0.010544306
2014/5/30,0.000603,0.000553039,0.00057802,-0.000220824,0.0029,0.002755694
2014/6/3,-0.003036,0.002155528,-0.000440236,0.000242285,-0.0075,-0.007124306
2014/6/4,-0.010067,0.001348221,-0.00435939,0.00072668,0.0004,0.000380694
2014/6/5,0.010491,0.000183601,0.0053373,0.003916823,-0.0024,-0.002279306
2014/6/6,-0.007387,0.000258058,-0.003564471,0.004668698,0.0094,0.008930694
2014/6/9,-0.000204,0.000218761,7.38E-06,0.001614452,-0.0021,-0.001994306
2014/6/10,0.012645,0.000271895,0.006458448,0.001263341,-0.0025,-0.002374306
2014/6/11,-0.000232,0.000562252,0.000165126,-0.002784546,0.0034,0.003230694
2014/6/12,-0.003404,0.000206575,-0.001598713,-0.003883072,-0.0018,-0.001709306
2014/6/13,0.010603,-3.12E-05,0.0052859,0.000503701,0.0093,0.008835694
2014/6/16,0.007174,0.000595043,0.003884522,-0.001160118,0.0096,0.009120694
2014/6/17,-0.01012,0.000259513,-0.004930244,0.001840813,-0.0118,-0.011209306
2014/6/18,-0.004349,-1.99E-05,-0.00218445,0.004571704,0.0025,0.002375694
2014/6/19,-0.01543,8.23E-05,-0.00767385,0.003745237,0.0063,0.005985694
2014/6/20,0.004618,0.000198387,0.002408194,0.000173547,0.0255,0.024225694
2014/6/23,-0.001226,0.000676638,-0.000274681,-0.00169179,0.0045,0.004275694
2014/6/24,0.005019,0.000201528,0.002610264,-0.003367589,-0.0003,-0.000284306
2014/6/25,-0.005338,0.000160395,-0.002588803,-0.001242588,-0.0027,-0.002564306
2014/6/26,0.007362,5.43E-05,0.00370815,0.000174615,-0.0005,-0.000474306
2014/6/27,0.00055,0.000175601,0.000362801,0.000589224,0.0012,0.001140694
2014/6/30,0.006911,0.00028025,0.003595625,0.000501636,-0.0047,-0.004464306
2014/7/1,-0.000258,-8.61E-05,-0.00017205,0.005951213,0.0081,0.007695694
2014/7/2,0.002914,-0.000719367,0.001097317,0.002557101,0.002,0.001900694
2014/7/3,0.004296,-0.000395075,0.001950462,0.005209234,-0.0031,-0.002944306
2014/7/4,-0.000687,-0.000322286,-0.000504643,-0.000258037,0.0008,0.000760694
2014/7/7,-0.001104,0.000434497,-0.000334751,-0.004172671,-0.0084,-0.007979306
2014/7/8,0.001923,0.000131287,0.001027144,-0.007278775,0.005,0.004750694
2014/7/9,-0.014567,0.000119999,-0.007223501,0.001305426,0.0029,0.002755694
