code,fund_type,X,Y,symbol,issuer,manager_0,manager_1,manager_2,manager_3,manager_4
1,Hybrid,-4.098388,-15.934024,华夏成长,华夏基金管理有限公司,董阳阳,,,,
3,Bond,12.87904,-11.330901,中海可转债A,中海基金管理有限公司,彭海平,,,,
4,Bond,12.87904,-11.330901,中海可转债C,中海基金管理有限公司,彭海平,,,,
5,Bond,25.39047,-40.14048,嘉实增强信用,嘉实基金管理有限公司,刘宁,,,,
8,Stock,-5.8191366,23.749254,嘉实中证500ETF联接A,嘉实基金管理有限公司,陈正宪,何如,,,
11,Hybrid,11.605032,0.48176274,华夏大盘,华夏基金管理有限公司,陈伟彦,,,,
15,Bond,25.076433,4.958525,华夏纯债A,华夏基金管理有限公司,柳万军,,,,
16,Bond,26.277344,3.0866013,华夏纯债C,华夏基金管理有限公司,柳万军,,,,
17,Hybrid,-3.7144692,-43.283165,财通主题,财通基金管理有限公司,夏钦,,,,
20,Hybrid,-44.570454,0.24814373,景顺品质,景顺长城基金管理有限公司,詹成,,,,
21,Hybrid,12.111663,1.1452826,华夏优势,华夏基金管理有限公司,刘平,郑晓辉,,,
24,Bond,37.87581,22.86983,大摩双利A,摩根士丹利华鑫基金管理有限公司,张雪,,,,
25,Bond,37.87614,22.868996,大摩双利C,摩根士丹利华鑫基金管理有限公司,张雪,,,,
28,Bond,-16.53492,30.100246,华富安鑫,华富基金管理有限公司,张惠,,,,
29,Hybrid,-10.041858,3.9342465,富国策略,富国基金管理有限公司,袁宜,,,,
30,Hybrid,-11.707343,4.9144063,长城优选,长城基金管理有限公司,雷俊,,,,
31,Hybrid,-4.5811467,-43.44404,华夏复兴,华夏基金管理有限公司,周克平,,,,
32,Bond,32.812744,19.379425,易方达信用债A,易方达基金管理有限公司,胡剑,纪玲云,,,
33,Bond,32.81354,19.379425,易方达信用债C,易方达基金管理有限公司,胡剑,纪玲云,,,
39,Hybrid,-41.18556,4.8597236,农银低估值,农银汇理基金管理有限公司,张燕,,,,
42,Stock,0.18406288,37.180885,财通ESG100A,财通基金管理有限公司,苏俊杰,吴迪,朱海东,,
43,QDII,-8.359684,-20.704487,嘉实美国,嘉实基金管理有限公司,张自力,,,,
44,QDII,-8.359683,-20.704458,嘉实美国美元现汇,嘉实基金管理有限公司,张自力,,,,
45,Bond,30.635313,-34.76643,工银产业债A,工银瑞信基金管理有限公司,何秀红,,,,
46,Bond,30.563587,-34.77609,工银产业债B,工银瑞信基金管理有限公司,何秀红,,,,
47,Bond,26.495424,3.9765391,华夏双债A,华夏基金管理有限公司,柳万军,,,,
48,Bond,25.475264,4.780451,华夏双债C,华夏基金管理有限公司,柳万军,,,,
51,Stock,-41.680927,-21.452044,华夏300ETF联接A,华夏基金管理有限公司,张弘弢,赵宗庭,,,
53,Bond,23.96452,26.48331,鹏华永诚,鹏华基金管理有限公司,刘涛,,,,
54,Bond,30.904213,-35.871384,鹏华增利,鹏华基金管理有限公司,刘太阳,,,,
56,Hybrid,-15.389398,2.8844662,建信消费,建信基金管理有限责任公司,邱宇航,,,,
57,Hybrid,-0.7553367,34.024532,中银消费,中银基金管理有限公司,钱亚风云,,,,
58,Hybrid,-1.3575869,-24.57981,国联安安泰,国联安基金管理有限公司,林渌,,,,
59,Stock,-2.945587,21.25004,国联安医药A,国联安基金管理有限公司,黄欣,,,,
61,Hybrid,-2.97748,-44.03263,华夏盛世,华夏基金管理有限公司,代瑞亮,王晓李,,,
63,Hybrid,-3.7065556,36.144085,长盛信息主题,长盛基金管理有限公司,钱文礼,朱律,,,
65,Hybrid,28.504347,19.065351,国富焦点,国海富兰克林基金管理有限公司,刘晓,刘怡敏,赵晓东,,
66,Hybrid,-45.072216,0.92018294,诺安鸿鑫,诺安基金管理有限公司,罗春蕾,,,,
67,Bond,-10.457691,39.141922,民生转债A,民生加银基金管理有限公司,邱世磊,,,,
68,Bond,-10.4597,39.14302,民生转债C,民生加银基金管理有限公司,邱世磊,,,,
69,Bond,-14.189271,33.15213,国投中高债A,国投瑞银基金管理有限公司,宋璐,,,,
70,Bond,-14.189275,33.151928,国投中高债C,国投瑞银基金管理有限公司,宋璐,,,,
72,Hybrid,-12.155395,4.487871,华安稳健,华安基金管理有限公司,舒灏,郑可成,,,
73,Hybrid,-17.297918,2.4037151,上投成长,上投摩根基金管理有限公司,刘辉,,,,
80,Bond,24.701654,3.625949,天治可转债A,天治基金管理有限公司,王洋,,,,
81,Bond,25.56781,4.526316,天治可转债C,天治基金管理有限公司,王洋,,,,
82,Stock,17.696495,-8.35126,嘉实研究,嘉实基金管理有限公司,张丹华,张露,,,
83,Hybrid,-2.9455776,26.907867,汇添富消费,汇添富基金管理股份有限公司,胡昕炜,,,,
84,Bond,23.969913,-36.93338,博时安盈A,博时基金管理有限公司,黄海峰,,,,
85,Bond,23.969913,-36.93338,博时安盈C,博时基金管理有限公司,黄海峰,,,,
86,Bond,23.97057,-36.93316,南方稳利A,南方基金管理股份有限公司,何康,,,,
87,Bond,-0.16052474,39.05829,嘉实中证ETF联接A,嘉实基金管理有限公司,曲扬,王亚洲,,,
88,Bond,-0.16053066,39.058678,嘉实中证ETF联接C,嘉实基金管理有限公司,曲扬,王亚洲,,,
104,Bond,44.366528,13.58086,华宸添利A,华宸未来基金管理有限公司,应晓立,,,,
105,Bond,22.036777,-36.034996,建信安心A,建信基金管理有限责任公司,闫晗,,,,
106,Bond,22.036777,-36.035,建信安心C,建信基金管理有限责任公司,闫晗,,,,
107,Bond,41.70545,10.329428,富国稳健A/B,富国基金管理有限公司,俞晓斌,,,,
109,Bond,41.703453,10.334639,富国稳健C,富国基金管理有限公司,俞晓斌,,,,
113,Bond,25.94907,-39.0599,嘉实如意宝A/B,嘉实基金管理有限公司,刘宁,,,,
115,Bond,25.955128,-39.063126,嘉实如意宝C,嘉实基金管理有限公司,刘宁,,,,
116,Bond,25.949085,-39.059906,嘉实丰益纯债,嘉实基金管理有限公司,曲扬,,,,
117,Hybrid,-44.564182,1.1415728,广发轮动,广发基金管理有限公司,吴兴武,,,,
118,Bond,37.86095,19.81398,广发聚鑫A,广发基金管理有限公司,张芊,,,,
119,Bond,37.86095,19.81398,广发聚鑫C,广发基金管理有限公司,张芊,,,,
120,Hybrid,-17.212456,-2.1032782,中银美丽,中银基金管理有限公司,王伟,严菲,,,
121,Hybrid,25.955128,-39.063126,华夏永福A,华夏基金管理有限公司,何家琪,,,,
122,Bond,27.217884,4.049442,汇添富实业债A,汇添富基金管理股份有限公司,蒋文玲,曾刚,,,
123,Bond,26.822306,4.100024,汇添富实业债C,汇添富基金管理股份有限公司,蒋文玲,曾刚,,,
124,Hybrid,-2.7285178,18.65719,华宝优选,华宝基金管理有限公司,楼鸿强,,,,
126,Hybrid,-6.758097,-2.0242236,招商安润,招商基金管理有限公司,尹晓红,钟贇,,,
127,Hybrid,-41.1536,4.850546,农银领先,农银汇理基金管理有限公司,张峰,,,,
