0,1
债券型,安信尊享添益债券C
混合型,朱垚
混合型,万家社会责任18个月定开A
华夏新起航混合C,混合型
何旻,汇添富安心中国债券A
姚锦,股票型
蒋文玲,汇添富实业债债券A
盛骅,混合型
何珅华,建信鑫利回报灵活配置混合A
庞宝臣,泰达宏利瑞利债券B
分级杠杆,长盛中证证券公司分级B
新华阿鑫一号保本混合,赵楠
鄢耀,工银添福债券B
前海联合泳盛纯债C,曾婷婷
定开债券,国泰兴富三个月定开债
混合型,宝盈睿丰创新混合C
陆欣,民生加银平稳添利债券A
富国中证体育产业指数分级,王乐乐
国富估值优势混合,徐成
工银精选平衡混合,王筱苓
郑科,嘉实养老2030混合(FOF)
马文祥,长盛同禧债券C
长信先锐债券,债券型
混合型,富国成长优选三年定开混合
定开债券,融通岁岁添利定开债B
陈建良,建信现金添利货币B
胡剑,易方达稳健收益债券A
混合型,中融医疗健康混合A
华富恒财分级债券,债券型
人保转型新动力混合C,混合型
货币型,中欧骏益货币
施旭,平安大华量化成长混合A
鹏华中证500指数(LOF)A,王咏辉
吴潇,国投瑞银信息消费混合
股票型,龙川
债券型,莫华寅
史浩翔,永赢盈益债券C
混合型,田宏伟
泰达宏利绩优混合,混合型
富国汇利回报两年定期开放债券,定开债券
混合-FOF,刘翀
建信现金添利货币A,陈建良
混合型,泰信鑫利混合C
债券型,华润元大双鑫债券A
债券型,华夏鼎隆债券C
混合型,华安新回报灵活配置混合
股票指数,泰康港股通大消费指数A
货币型,张一格
诺德深证300指数分级A,固定收益
宝盈祥瑞混合C,高宇
天弘裕利灵活配置混合A,刘洋
张圣贤,富国中证煤炭指数分级B
定开债券,王美芹
中欧增强回报债券(LOF)C,债券型
国联安优选行业混合,潘明
融通通祺债券,王涛
蒋璆,华安升级主题混合
周欣宇,招商招通纯债A
广发创新升级混合,刘格菘
史浩翔,永赢盛益债券C
邱世磊,民生加银和鑫定开债
QDII,何博
工银国债纯债债券C,债券型
钱文成,天弘云端生活优选
汇安丰利混合C,戴杰
赵治烨,上银鑫达混合
混合型,博时新机遇混合A
何晓春,金鹰稳健成长混合
田俊维,天弘价值精选灵活配置混合
定开债券,王玥
工银医药健康股票C,谭冬寒
谢军,广发汇兴3个月定期开放债券
尹华龙,债券型
债券型,孟飞
国泰利是宝货币,韩哲昊
长信富安纯债半年定开债C,刘波
许文星,混合型
银河鸿利混合I,韩晶
债券型,杨芳
创金合信量化发现混合A,混合型
陶然,汇添富现金宝货币
混合型,刘盟盟
建信优势动力混合(LOF),姜锋
杨伟,恒生前海中证质量成长C
混合型,大摩新机遇混合
固定收益,鹏华新丝路分级A
张永超,新华中证环保产业指数分级B
狄晓娇,国投瑞银瑞宁混合
长盛医疗行业量化配置股票,周思聪
浦银安盛消费升级混合C,吴勇
周大鹏,QDII-指数
高圣,混合型
徐皓,国泰国证房地产行业指数分级
长盛盛瑞灵活配置混合A,混合型
邱红丽,混合型
定开债券,张雪
茅勇峰,中航瑞景3个月定开A
大成景兴信用债债券A,陶铄
金信转型创新成长混合发起式,混合型
债券型,天弘添利债券(LOF)
张萌,中邮纯债恒利债券C
冯正彦,嘉实互通精选股票
混合型,鹏华弘惠灵活配置混合A
杜晓海,海富通欣荣混合A
建信中证1000指数增强C,股票指数
杜海涛,工银添利债券B
交银丰盈收益债券C,连端清
银华美元债精选(QDII)A,吴双
谈云飞,海富通欣荣混合A
张沛,银河钱包货币A
田宇,易方达恒久添利1年定开债A
安信中短利率债(LOF)A,债券型
徐莹,兴业瑞丰6个月定开债
华夏希望债券C,债券型
平安MSCI中国A股国际ETF,钱晶
朱浩然,融通通瑞债券A/B
华夏鼎淳债券A,债券型
中信建投添鑫宝,刘博
彭海平,中海中鑫灵活配置混合
大摩多元收益债券C,李轶
王晓晨,易方达新鑫混合I
长信乐信灵活配置混合A,混合型
债券型,光大恒利纯债
大摩双利增强债券C,张雪
工银政府债纯债债券(LOF)C,债券型
吴潇,债券型
盛丰衍,固定收益
鲁邦旺,博时安慧18个月定开债A
丁宇佳,货币型
宝盈策略增长混合,刘李杰
华泰MSCI中国A股联接C,柳军
徐小勇,银河灵活配置混合C
债券型,刘宏毅
乐瑞祺,民生加银信用双利债券A
高宇,宝盈祥颐定期开放混合C
孙蓓琳,银华大数据灵活配置定开混合
华泰柏瑞货币A,朱向临
平安金管家货币C,段玮婧
长信中证一带一路指数分级B,邓虎
中金优选300指数(LOF)C,股票指数
大成景祥分级债券B,分级杠杆
大成沪深300指数A,张钟玉
大成核心双动力混合,苏秉毅
交银增强收益债券,于海颖
博时月月盈短期理财债券R,理财型
鹏华消费领先混合,蒋鑫
陈建华,华宝中证银行ETF联接A
胡戈游,股票型
蒋磊,银河睿达灵活配置混合A
混合型,易方达丰惠混合
建信上证50ETF,薛玲
